entry_time,exit_time,symbol,entry_price,exit_price,qty,gross_pnl,net_pnl,fee,holding_bars,exit_reason,strategy_mode
2024-12-04T12:00:00.000Z,2024-12-05T12:00:00.000Z,AVAX,14.75,13.8,2743.53,-2606.3534999999974,-2841.3368444999974,234.98334450000004,2,sma-break,A_BALANCE
2024-12-10T00:00:00.000Z,2024-12-19T00:00:00.000Z,ETH,3712,3626.8,10.14,-863.9279999999999,-1087.174296,223.24629600000003,18,sma-break,A_BALANCE
2025-01-06T12:00:00.000Z,2025-01-08T00:00:00.000Z,SOL,216.26,202.17,169.04,-2381.7736000000004,-2593.9678216,212.19422159999996,3,risk-off,A_BALANCE
2025-01-17T12:00:00.000Z,2025-01-27T12:00:00.000Z,SOL,218.77,225.84,155.31,1098.0417000000016,890.8845627000015,207.15713730000002,20,risk-off,A_BALANCE
2025-01-28T12:00:00.000Z,2025-02-01T12:00:00.000Z,SOL,238.25,228.1,146.33,-1485.2495000000054,-1689.9724865000053,204.72298650000002,8,sma-break,A_BALANCE
2025-04-15T12:00:00.000Z,2025-04-16T00:00:00.000Z,SOL,132.14,126.1,251.11,-1516.7043999999987,-1711.2443391999986,194.5399392,1,risk-off,A_BALANCE
2025-04-21T00:00:00.000Z,2025-05-02T00:00:00.000Z,SOL,137.86,150.85,228.34,2966.136599999998,2768.364475799998,197.7721242,22,rebalance-switch,A_BALANCE
2025-05-02T00:00:00.000Z,2025-05-24T00:00:00.000Z,ETH,1838.1,2526.49,18.624,12820.575359999995,12576.716987519996,243.85837247999996,44,rebalance-switch,A_BALANCE
2025-05-24T00:00:00.000Z,2025-05-29T00:00:00.000Z,SOL,174,172.22,268.66,-478.21480000000156,-757.2611956000015,279.0463956,10,sma-break,A_BALANCE
2025-05-29T12:00:00.000Z,2025-05-31T00:00:00.000Z,ETH,2715.82,2531.35,16.935,-3123.999450000003,-3390.581921850003,266.58247185,3,sma-break,A_BALANCE
2025-06-04T00:00:00.000Z,2025-06-06T00:00:00.000Z,ETH,2593.35,2414.02,16.434,-2947.1092199999985,-3193.9825757399985,246.87335574000002,4,risk-off,A_BALANCE
2025-07-01T12:00:00.000Z,2025-07-02T00:00:00.000Z,SOL,148.85,146.87,264.98,-524.6604000000007,-759.7400568000007,235.0796568,1,risk-off,A_BALANCE
2025-07-07T00:00:00.000Z,2025-07-12T12:00:00.000Z,SOL,151.86,161.62,254.75,2486.3599999999933,2246.782909999993,239.57709000000003,11,rebalance-switch,A_BALANCE
2025-07-12T12:00:00.000Z,2025-08-02T00:00:00.000Z,ETH,2963.39,3488.21,13.809000000000001,7247.239379999999,6979.968946799999,267.2704332,41,sma-break,A_BALANCE
2025-08-09T00:00:00.000Z,2025-08-18T12:00:00.000Z,ETH,4009.51,4274.36,11.938,3161.7792999999947,2865.100779819995,296.67852018,19,risk-off,A_BALANCE
2025-09-16T12:00:00.000Z,2025-09-17T00:00:00.000Z,AVAX,12.58,12.58,4031.65,0,-304.308942,304.308942,1,sma-break,A_BALANCE
2025-09-22T00:00:00.000Z,2025-09-22T12:00:00.000Z,SOL,236.16,221.49,213.47,-3131.6048999999985,-3424.6885364999985,293.0836365,1,risk-off,A_BALANCE
2025-10-03T00:00:00.000Z,2025-10-11T00:00:00.000Z,ETH,4484.35,3829.72,10.482000000000001,-6861.831660000011,-7123.275905220011,261.44424522,16,risk-off,A_BALANCE
