symbol,feature,period,horizon_minutes,threshold,events,gross_mean,net_mean,median_net,win_rate,trade_sharpe
BTCUSDT,sig_funding_contra,holdout,60,2.5,385,6.282206108433085e-06,-0.0009937177938915672,-0.0008362127304607494,0.35324675324675325,-4.696537504132792
BTCUSDT,sig_flow_cont,selection,15,1.5,6708,-3.658351041715852e-05,-0.0010365835104171588,-0.0010725180072793097,0.22510435301132975,-36.2503474565612
BTCUSDT,sig_flow_cont,holdout,15,1.5,3466,-4.954485094371378e-05,-0.0010495448509437143,-0.0010639301773616707,0.19994229659549914,-33.41142969076835
BTCUSDT,sig_flow_cont,selection,15,2.0,2452,-5.133543977498891e-05,-0.001051335439774989,-0.0010757443979858552,0.21900489396411094,-22.354199358360656
BTCUSDT,sig_flow_cont,holdout,15,2.0,1253,-1.5266802240886687e-05,-0.001015266802240887,-0.0010064022699888256,0.19952114924181963,-20.24343839915265
BTCUSDT,sig_flow_cont,selection,15,2.5,854,-8.471100720649665e-05,-0.001084711007206497,-0.0010928852726729268,0.21311475409836064,-15.364819024207762
BTCUSDT,sig_flow_cont,holdout,15,2.5,408,-1.5972531198147005e-05,-0.0010159725311981473,-0.0009943158931082765,0.2107843137254902,-12.701914004952531
BTCUSDT,sig_flow_cont,selection,30,1.5,6708,-2.6234958648962956e-05,-0.0010262349586489634,-0.001049233672280602,0.2902504472271914,-26.285405242543074
BTCUSDT,sig_flow_cont,holdout,30,1.5,3466,-7.116976629422791e-05,-0.0010711697662942282,-0.001080513369044799,0.2671667628390075,-24.3294837969533
BTCUSDT,sig_flow_cont,selection,30,2.0,2452,-8.124667402058705e-05,-0.0010812466740205873,-0.0011232930505145058,0.26468189233278955,-18.115040665705088
BTCUSDT,sig_flow_cont,holdout,30,2.0,1253,-6.2138964562361e-05,-0.0010621389645623612,-0.0010012896419825381,0.2657621707901037,-15.484062731073307
BTCUSDT,sig_flow_cont,selection,30,2.5,854,-1.5108646127887808e-05,-0.0010151086461278882,-0.0010977824104905212,0.2646370023419204,-10.12520754294346
BTCUSDT,sig_flow_cont,holdout,30,2.5,408,-0.00011994842686882586,-0.0011199484268688263,-0.001077051457826327,0.25735294117647056,-10.235180895041939
BTCUSDT,sig_flow_cont,selection,60,1.5,6708,-7.927927567047992e-05,-0.0010792792756704802,-0.0010907348050885326,0.33392963625521765,-20.352980061168594
BTCUSDT,sig_flow_cont,holdout,60,1.5,3465,-0.00016205114350866415,-0.0011620511435086647,-0.0010748429047429111,0.33391053391053394,-18.675687756969886
BTCUSDT,sig_flow_cont,selection,60,2.0,2452,-0.00016715052766336474,-0.0011671505276633649,-0.0011071480511883882,0.3197389885807504,-14.589391748437528
BTCUSDT,sig_flow_cont,holdout,60,2.0,1253,-0.00010644242617403308,-0.0011064424261740334,-0.0010344123345776826,0.3304070231444533,-11.365867010053968
