execution_price,delay_minutes,cost_bps_per_side_per_venue,volume_quantile_filter,active_bar_ratio,total_return,cagr,max_drawdown,sharpe,average_month,median_month,best_month,worst_month,positive_month_ratio,positive_week_ratio,best_week,worst_week,weeks
next_close,5,10,0.0,0.14102564102564102,0.3538222920464389,2.37344752279311,-0.13999451949483943,2.5463111027677034,0.1134616551178741,0.16916082763978313,0.22917379395915605,-0.057949656245316894,0.6666666666666666,0.7857142857142857,0.07946957745424332,-0.05574616039412772,14
next_close,5,10,0.1,0.14102564102564102,0.3538222920464389,2.37344752279311,-0.13999451949483943,2.5463111027677034,0.1134616551178741,0.16916082763978313,0.22917379395915605,-0.057949656245316894,0.6666666666666666,0.7857142857142857,0.07946957745424332,-0.05574616039412772,14
next_close,5,10,0.25,0.14102564102564102,0.3538222920464389,2.37344752279311,-0.13999451949483943,2.5463111027677034,0.1134616551178741,0.16916082763978313,0.22917379395915605,-0.057949656245316894,0.6666666666666666,0.7857142857142857,0.07946957745424332,-0.05574616039412772,14
next_close,5,10,0.5,0.028083028083028084,-0.014958201350044886,-0.058700719115926114,-0.08736998051235245,-0.11218957904085494,-0.0040962939686182516,0.022278431405361232,0.029155005009024793,-0.06372231832024078,0.6666666666666666,0.35714285714285715,0.027797685964260133,-0.045892329687039046,14
next_close,5,20,0.0,0.14102564102564102,-0.6076179481889595,-0.9766012104534271,-0.6258810995892059,-6.540353718542318,-0.2589808166257053,-0.20915435002504035,-0.15484872499514635,-0.41293937485692933,0.0,0.21428571428571427,0.009080069664595625,-0.162180878720252,14
next_close,5,20,0.1,0.14102564102564102,-0.6076179481889595,-0.9766012104534271,-0.6258810995892059,-6.540353718542318,-0.2589808166257053,-0.20915435002504035,-0.15484872499514635,-0.41293937485692933,0.0,0.21428571428571427,0.009080069664595625,-0.162180878720252,14
next_close,5,20,0.25,0.14102564102564102,-0.6076179481889595,-0.9766012104534271,-0.6258810995892059,-6.540353718542318,-0.2589808166257053,-0.20915435002504035,-0.15484872499514635,-0.41293937485692933,0.0,0.21428571428571427,0.009080069664595625,-0.162180878720252,14
next_close,5,20,0.5,0.028083028083028084,-0.21608599740250767,-0.623638545645106,-0.25035914305545093,-3.6382772918396356,-0.07642930648202266,-0.048805579793491316,-0.030872249472384317,-0.14961009018019233,0.0,0.21428571428571427,0.011377748950011757,-0.10158584569751283,14
next_close,5,50,0.0,0.14102564102564102,-0.9905886046244665,-0.9999999926468859,-0.9906150481992568,-26.740538468648893,-0.7770778438678305,-0.7904861581358938,-0.682010326805915,-0.8587370466616828,0.0,0.0,-0.02674655591255004,-0.5765084172689798,14
next_close,5,50,0.1,0.14102564102564102,-0.9905886046244665,-0.9999999926468859,-0.9906150481992568,-26.740538468648893,-0.7770778438678305,-0.7904861581358938,-0.682010326805915,-0.8587370466616828,0.0,0.0,-0.02674655591255004,-0.5765084172689798,14
next_close,5,50,0.25,0.14102564102564102,-0.9905886046244665,-0.9999999926468859,-0.9906150481992568,-26.740538468648893,-0.7770778438678305,-0.7904861581358938,-0.682010326805915,-0.8587370466616828,0.0,0.0,-0.02674655591255004,-0.5765084172689798,14
